year,round,circuit,driver,team,grid,position,won,points,laps,status
2015,1,albert_park,hamilton,mercedes,1,1,1,25.0,58,Finished
2015,1,albert_park,rosberg,mercedes,2,2,0,18.0,58,Finished
2015,1,albert_park,vettel,ferrari,4,3,0,15.0,58,Finished
2015,1,albert_park,massa,williams,3,4,0,12.0,58,Finished
2015,1,albert_park,nasr,sauber,10,5,0,10.0,58,Finished
2015,1,albert_park,ricciardo,red_bull,6,6,0,8.0,57,+1 Lap
2015,1,albert_park,hulkenberg,force_india,13,7,0,6.0,57,+1 Lap
2015,1,albert_park,ericsson,sauber,15,8,0,4.0,57,+1 Lap
2015,1,albert_park,sainz,toro_rosso,7,9,0,2.0,57,+1 Lap
2015,1,albert_park,perez,force_india,14,10,0,1.0,57,+1 Lap
2015,1,albert_park,button,mclaren,16,11,0,0.0,56,+2 Laps
2015,1,albert_park,raikkonen,ferrari,5,12,0,0.0,40,Wheel
2015,1,albert_park,max_verstappen,toro_rosso,11,13,0,0.0,32,Engine
2015,1,albert_park,grosjean,lotus_f1,8,14,0,0.0,0,Power loss
2015,1,albert_park,maldonado,lotus_f1,9,15,0,0.0,0,Accident
2015,1,albert_park,kvyat,red_bull,12,16,0,0.0,0,Withdrew
2015,1,albert_park,kevin_magnussen,mclaren,17,17,0,0.0,0,Withdrew
2015,1,albert_park,bottas,williams,0,18,0,0.0,0,Withdrew
2015,2,sepang,vettel,ferrari,2,1,1,25.0,56,Finished
2015,2,sepang,hamilton,mercedes,1,2,0,18.0,56,Finished
2015,2,sepang,rosberg,mercedes,3,3,0,15.0,56,Finished
2015,2,sepang,raikkonen,ferrari,11,4,0,12.0,56,Finished
2015,2,sepang,bottas,williams,8,5,0,10.0,56,Finished
2015,2,sepang,massa,williams,7,6,0,8.0,56,Finished
2015,2,sepang,max_verstappen,toro_rosso,6,7,0,6.0,56,Finished
2015,2,sepang,sainz,toro_rosso,15,8,0,4.0,55,+1 Lap
2015,2,sepang,kvyat,red_bull,5,9,0,2.0,55,+1 Lap
2015,2,sepang,ricciardo,red_bull,4,10,0,1.0,55,+1 Lap
2015,2,sepang,grosjean,lotus_f1,10,11,0,0.0,55,+1 Lap
2015,2,sepang,nasr,sauber,16,12,0,0.0,55,+1 Lap
2015,2,sepang,perez,force_india,14,13,0,0.0,55,+1 Lap
2015,2,sepang,hulkenberg,force_india,13,14,0,0.0,55,+1 Lap
2015,2,sepang,merhi,manor,19,15,0,0.0,53,+3 Laps
2015,2,sepang,maldonado,lotus_f1,12,16,0,0.0,47,Retired
2015,2,sepang,button,mclaren,17,17,0,0.0,41,Turbo
2015,2,sepang,alonso,mclaren,18,18,0,0.0,21,ERS
2015,2,sepang,ericsson,sauber,9,19,0,0.0,3,Spun off
2015,2,sepang,stevens,manor,0,20,0,0.0,0,Fuel system
2015,3,shanghai,hamilton,mercedes,1,1,1,25.0,56,Finished
2015,3,shanghai,rosberg,mercedes,2,2,0,18.0,56,Finished
2015,3,shanghai,vettel,ferrari,3,3,0,15.0,56,Finished
2015,3,shanghai,raikkonen,ferrari,6,4,0,12.0,56,Finished
2015,3,shanghai,massa,williams,4,5,0,10.0,56,Finished
2015,3,shanghai,bottas,williams,5,6,0,8.0,56,Finished
2015,3,shanghai,grosjean,lotus_f1,8,7,0,6.0,56,Finished
2015,3,shanghai,nasr,sauber,9,8,0,4.0,56,Finished
2015,3,shanghai,ricciardo,red_bull,7,9,0,2.0,56,Finished
2015,3,shanghai,ericsson,sauber,10,10,0,1.0,55,+1 Lap
2015,3,shanghai,perez,force_india,15,11,0,0.0,55,+1 Lap
2015,3,shanghai,alonso,mclaren,18,12,0,0.0,55,+1 Lap
2015,3,shanghai,sainz,toro_rosso,14,13,0,0.0,55,+1 Lap
2015,3,shanghai,button,mclaren,17,14,0,0.0,55,+1 Lap
2015,3,shanghai,stevens,manor,19,15,0,0.0,54,+2 Laps
2015,3,shanghai,merhi,manor,20,16,0,0.0,54,+2 Laps
2015,3,shanghai,max_verstappen,toro_rosso,13,17,0,0.0,52,Transmission
2015,3,shanghai,maldonado,lotus_f1,11,18,0,0.0,49,Brakes
2015,3,shanghai,kvyat,red_bull,12,19,0,0.0,15,Power Unit
2015,3,shanghai,hulkenberg,force_india,16,20,0,0.0,9,Gearbox
2015,4,bahrain,hamilton,mercedes,1,1,1,25.0,57,Finished
2015,4,bahrain,raikkonen,ferrari,4,2,0,18.0,57,Finished
2015,4,bahrain,rosberg,mercedes,3,3,0,15.0,57,Finished
2015,4,bahrain,bottas,williams,5,4,0,12.0,57,Finished
2015,4,bahrain,vettel,ferrari,2,5,0,10.0,57,Finished
2015,4,bahrain,ricciardo,red_bull,7,6,0,8.0,57,Finished
2015,4,bahrain,grosjean,lotus_f1,10,7,0,6.0,57,Finished
2015,4,bahrain,perez,force_india,11,8,0,4.0,56,+1 Lap
2015,4,bahrain,kvyat,red_bull,17,9,0,2.0,56,+1 Lap
2015,4,bahrain,massa,williams,6,10,0,1.0,56,+1 Lap
2015,4,bahrain,alonso,mclaren,14,11,0,0.0,56,+1 Lap
2015,4,bahrain,nasr,sauber,12,12,0,0.0,56,+1 Lap
2015,4,bahrain,hulkenberg,force_india,8,13,0,0.0,56,+1 Lap
2015,4,bahrain,ericsson,sauber,13,14,0,0.0,56,+1 Lap
2015,4,bahrain,maldonado,lotus_f1,16,15,0,0.0,56,+1 Lap
2015,4,bahrain,stevens,manor,18,16,0,0.0,55,+2 Laps
2015,4,bahrain,merhi,manor,19,17,0,0.0,54,+3 Laps
2015,4,bahrain,max_verstappen,toro_rosso,15,18,0,0.0,34,Electrical
2015,4,bahrain,sainz,toro_rosso,9,19,0,0.0,29,Engine
2015,4,bahrain,button,mclaren,20,20,0,0.0,0,ERS
2015,5,catalunya,rosberg,mercedes,1,1,1,25.0,66,Finished
2015,5,catalunya,hamilton,mercedes,2,2,0,18.0,66,Finished
2015,5,catalunya,vettel,ferrari,3,3,0,15.0,66,Finished
2015,5,catalunya,bottas,williams,4,4,0,12.0,66,Finished
2015,5,catalunya,raikkonen,ferrari,7,5,0,10.0,66,Finished
2015,5,catalunya,massa,williams,9,6,0,8.0,66,Finished
2015,5,catalunya,ricciardo,red_bull,10,7,0,6.0,65,+1 Lap
2015,5,catalunya,grosjean,lotus_f1,11,8,0,4.0,65,+1 Lap
2015,5,catalunya,sainz,toro_rosso,5,9,0,2.0,65,+1 Lap
2015,5,catalunya,kvyat,red_bull,8,10,0,1.0,65,+1 Lap
2015,5,catalunya,max_verstappen,toro_rosso,6,11,0,0.0,65,+1 Lap
2015,5,catalunya,nasr,sauber,15,12,0,0.0,65,+1 Lap
2015,5,catalunya,perez,force_india,18,13,0,0.0,65,+1 Lap
2015,5,catalunya,ericsson,sauber,16,14,0,0.0,65,+1 Lap
2015,5,catalunya,hulkenberg,force_india,17,15,0,0.0,65,+1 Lap
2015,5,catalunya,button,mclaren,14,16,0,0.0,65,+1 Lap
2015,5,catalunya,stevens,manor,19,17,0,0.0,63,+3 Laps
2015,5,catalunya,merhi,manor,20,18,0,0.0,62,+4 Laps
2015,5,catalunya,maldonado,lotus_f1,12,19,0,0.0,45,Accident
2015,5,catalunya,alonso,mclaren,13,20,0,0.0,26,Brakes
2015,6,monaco,rosberg,mercedes,2,1,1,25.0,78,Finished
2015,6,monaco,vettel,ferrari,3,2,0,18.0,78,Finished
2015,6,monaco,hamilton,mercedes,1,3,0,15.0,78,Finished
2015,6,monaco,kvyat,red_bull,5,4,0,12.0,78,Finished
2015,6,monaco,ricciardo,red_bull,4,5,0,10.0,78,Finished
2015,6,monaco,raikkonen,ferrari,6,6,0,8.0,78,Finished
2015,6,monaco,perez,force_india,7,7,0,6.0,78,Finished
2015,6,monaco,button,mclaren,10,8,0,4.0,78,Finished
2015,6,monaco,nasr,sauber,14,9,0,2.0,78,Finished
2015,6,monaco,sainz,toro_rosso,0,10,0,1.0,78,Finished
2015,6,monaco,hulkenberg,force_india,11,11,0,0.0,78,Finished
2015,6,monaco,grosjean,lotus_f1,15,12,0,0.0,78,Finished
2015,6,monaco,ericsson,sauber,17,13,0,0.0,78,Finished
2015,6,monaco,bottas,williams,16,14,0,0.0,78,Finished
2015,6,monaco,massa,williams,12,15,0,0.0,77,+1 Lap
2015,6,monaco,merhi,manor,19,16,0,0.0,76,+2 Laps
2015,6,monaco,stevens,manor,18,17,0,0.0,76,+2 Laps
2015,6,monaco,max_verstappen,toro_rosso,9,18,0,0.0,62,Accident
2015,6,monaco,alonso,mclaren,13,19,0,0.0,41,Gearbox
2015,6,monaco,maldonado,lotus_f1,8,20,0,0.0,5,Brakes
2015,7,villeneuve,hamilton,mercedes,1,1,1,25.0,70,Finished
2015,7,villeneuve,rosberg,mercedes,2,2,0,18.0,70,Finished
2015,7,villeneuve,bottas,williams,4,3,0,15.0,70,Finished
2015,7,villeneuve,raikkonen,ferrari,3,4,0,12.0,70,Finished
2015,7,villeneuve,vettel,ferrari,18,5,0,10.0,70,Finished
2015,7,villeneuve,massa,williams,15,6,0,8.0,70,Finished
2015,7,villeneuve,maldonado,lotus_f1,6,7,0,6.0,70,Finished
2015,7,villeneuve,hulkenberg,force_india,7,8,0,4.0,69,+1 Lap
2015,7,villeneuve,kvyat,red_bull,8,9,0,2.0,69,+1 Lap
2015,7,villeneuve,grosjean,lotus_f1,5,10,0,1.0,69,+1 Lap
2015,7,villeneuve,perez,force_india,10,11,0,0.0,69,+1 Lap
2015,7,villeneuve,sainz,toro_rosso,11,12,0,0.0,69,+1 Lap
2015,7,villeneuve,ricciardo,red_bull,9,13,0,0.0,69,+1 Lap
2015,7,villeneuve,ericsson,sauber,12,14,0,0.0,69,+1 Lap
2015,7,villeneuve,max_verstappen,toro_rosso,19,15,0,0.0,69,+1 Lap
2015,7,villeneuve,nasr,sauber,14,16,0,0.0,68,+2 Laps
2015,7,villeneuve,stevens,manor,17,17,0,0.0,66,+4 Laps
2015,7,villeneuve,merhi,manor,16,18,0,0.0,57,Retired
2015,7,villeneuve,button,mclaren,20,19,0,0.0,54,Retired
2015,7,villeneuve,alonso,mclaren,13,20,0,0.0,44,Engine
2015,8,red_bull_ring,rosberg,mercedes,2,1,1,25.0,71,Finished
2015,8,red_bull_ring,hamilton,mercedes,1,2,0,18.0,71,Finished
2015,8,red_bull_ring,massa,williams,4,3,0,15.0,71,Finished
2015,8,red_bull_ring,vettel,ferrari,3,4,0,12.0,71,Finished
2015,8,red_bull_ring,bottas,williams,6,5,0,10.0,71,Finished
2015,8,red_bull_ring,hulkenberg,force_india,5,6,0,8.0,71,Finished
2015,8,red_bull_ring,maldonado,lotus_f1,10,7,0,6.0,70,+1 Lap
2015,8,red_bull_ring,max_verstappen,toro_rosso,7,8,0,4.0,70,+1 Lap
2015,8,red_bull_ring,perez,force_india,13,9,0,2.0,70,+1 Lap
2015,8,red_bull_ring,ricciardo,red_bull,18,10,0,1.0,70,+1 Lap
2015,8,red_bull_ring,nasr,sauber,8,11,0,0.0,70,+1 Lap
2015,8,red_bull_ring,kvyat,red_bull,15,12,0,0.0,70,+1 Lap
2015,8,red_bull_ring,ericsson,sauber,11,13,0,0.0,69,+2 Laps
2015,8,red_bull_ring,merhi,manor,16,14,0,0.0,68,+3 Laps
2015,8,red_bull_ring,grosjean,lotus_f1,9,15,0,0.0,35,Gearbox
2015,8,red_bull_ring,sainz,toro_rosso,12,16,0,0.0,35,Power loss
2015,8,red_bull_ring,button,mclaren,20,17,0,0.0,8,Retired
2015,8,red_bull_ring,stevens,manor,17,18,0,0.0,1,Oil leak
2015,8,red_bull_ring,raikkonen,ferrari,14,19,0,0.0,0,Collision
2015,8,red_bull_ring,alonso,mclaren,19,20,0,0.0,0,Collision
2015,9,silverstone,hamilton,mercedes,1,1,1,25.0,52,Finished
2015,9,silverstone,rosberg,mercedes,2,2,0,18.0,52,Finished
2015,9,silverstone,vettel,ferrari,6,3,0,15.0,52,Finished
2015,9,silverstone,massa,williams,3,4,0,12.0,52,Finished
2015,9,silverstone,bottas,williams,4,5,0,10.0,52,Finished
2015,9,silverstone,kvyat,red_bull,7,6,0,8.0,52,Finished
2015,9,silverstone,hulkenberg,force_india,9,7,0,6.0,52,Finished
2015,9,silverstone,raikkonen,ferrari,5,8,0,4.0,51,+1 Lap
2015,9,silverstone,perez,force_india,11,9,0,2.0,51,+1 Lap
2015,9,silverstone,alonso,mclaren,17,10,0,1.0,51,+1 Lap
2015,9,silverstone,ericsson,sauber,15,11,0,0.0,51,+1 Lap
2015,9,silverstone,merhi,manor,20,12,0,0.0,49,+3 Laps
2015,9,silverstone,stevens,manor,19,13,0,0.0,49,+3 Laps
2015,9,silverstone,sainz,toro_rosso,8,14,0,0.0,31,Electrical
2015,9,silverstone,ricciardo,red_bull,10,15,0,0.0,21,Electrical
2015,9,silverstone,max_verstappen,toro_rosso,13,16,0,0.0,3,Spun off
2015,9,silverstone,grosjean,lotus_f1,12,17,0,0.0,0,Collision
2015,9,silverstone,maldonado,lotus_f1,14,18,0,0.0,0,Collision
2015,9,silverstone,button,mclaren,18,19,0,0.0,0,Collision
2015,9,silverstone,nasr,sauber,16,20,0,0.0,0,Gearbox
2015,10,hungaroring,vettel,ferrari,3,1,1,25.0,69,Finished
2015,10,hungaroring,kvyat,red_bull,7,2,0,18.0,69,Finished
2015,10,hungaroring,ricciardo,red_bull,4,3,0,15.0,69,Finished
2015,10,hungaroring,max_verstappen,toro_rosso,9,4,0,12.0,69,Finished
2015,10,hungaroring,alonso,mclaren,15,5,0,10.0,69,Finished
2015,10,hungaroring,hamilton,mercedes,1,6,0,8.0,69,Finished
2015,10,hungaroring,grosjean,lotus_f1,10,7,0,6.0,69,Finished
2015,10,hungaroring,rosberg,mercedes,2,8,0,4.0,69,Finished
2015,10,hungaroring,button,mclaren,16,9,0,2.0,69,Finished
2015,10,hungaroring,ericsson,sauber,17,10,0,1.0,69,Finished
2015,10,hungaroring,nasr,sauber,18,11,0,0.0,69,Finished
2015,10,hungaroring,massa,williams,8,12,0,0.0,69,Finished
2015,10,hungaroring,bottas,williams,6,13,0,0.0,69,Finished
2015,10,hungaroring,maldonado,lotus_f1,14,14,0,0.0,69,Finished
2015,10,hungaroring,merhi,manor,19,15,0,0.0,67,+2 Laps
2015,10,hungaroring,stevens,manor,20,16,0,0.0,65,+4 Laps
2015,10,hungaroring,sainz,toro_rosso,12,17,0,0.0,60,Electrical
2015,10,hungaroring,raikkonen,ferrari,5,18,0,0.0,55,Power Unit
2015,10,hungaroring,perez,force_india,13,19,0,0.0,53,Suspension
2015,10,hungaroring,hulkenberg,force_india,11,20,0,0.0,41,Front wing
2015,11,spa,hamilton,mercedes,1,1,1,25.0,43,Finished
2015,11,spa,rosberg,mercedes,2,2,0,18.0,43,Finished
2015,11,spa,grosjean,lotus_f1,9,3,0,15.0,43,Finished
2015,11,spa,kvyat,red_bull,12,4,0,12.0,43,Finished
2015,11,spa,perez,force_india,4,5,0,10.0,43,Finished
2015,11,spa,massa,williams,6,6,0,8.0,43,Finished
2015,11,spa,raikkonen,ferrari,16,7,0,6.0,43,Finished
2015,11,spa,max_verstappen,toro_rosso,18,8,0,4.0,43,Finished
2015,11,spa,bottas,williams,3,9,0,2.0,43,Power Unit
2015,11,spa,ericsson,sauber,13,10,0,1.0,43,Finished
2015,11,spa,nasr,sauber,14,11,0,0.0,43,Finished
2015,11,spa,vettel,ferrari,8,12,0,0.0,42,Tyre
2015,11,spa,alonso,mclaren,20,13,0,0.0,42,+1 Lap
2015,11,spa,button,mclaren,19,14,0,0.0,42,+1 Lap
2015,11,spa,merhi,manor,17,15,0,0.0,42,+1 Lap
2015,11,spa,stevens,manor,15,16,0,0.0,42,+1 Lap
2015,11,spa,sainz,toro_rosso,10,17,0,0.0,32,Power Unit
2015,11,spa,ricciardo,red_bull,5,18,0,0.0,19,Power Unit
2015,11,spa,maldonado,lotus_f1,7,19,0,0.0,2,Engine
2015,11,spa,hulkenberg,force_india,11,20,0,0.0,0,Power loss
2015,12,monza,hamilton,mercedes,1,1,1,25.0,53,Finished
2015,12,monza,vettel,ferrari,3,2,0,18.0,53,Finished
2015,12,monza,massa,williams,5,3,0,15.0,53,Finished
2015,12,monza,bottas,williams,6,4,0,12.0,53,Finished
2015,12,monza,raikkonen,ferrari,2,5,0,10.0,53,Finished
2015,12,monza,perez,force_india,7,6,0,8.0,53,Finished
2015,12,monza,hulkenberg,force_india,9,7,0,6.0,52,+1 Lap
2015,12,monza,ricciardo,red_bull,19,8,0,4.0,52,+1 Lap
2015,12,monza,ericsson,sauber,12,9,0,2.0,52,+1 Lap
2015,12,monza,kvyat,red_bull,18,10,0,1.0,52,+1 Lap
2015,12,monza,sainz,toro_rosso,17,11,0,0.0,52,+1 Lap
2015,12,monza,max_verstappen,toro_rosso,20,12,0,0.0,52,+1 Lap
2015,12,monza,nasr,sauber,17,13,0,0.0,52,+1 Lap
2015,12,monza,button,mclaren,15,14,0,0.0,52,+1 Lap
2015,12,monza,stevens,manor,13,15,0,0.0,51,+2 Laps
2015,12,monza,merhi,manor,14,16,0,0.0,51,+2 Laps
2015,12,monza,rosberg,mercedes,4,17,0,0.0,50,+3 Laps
2015,12,monza,alonso,mclaren,16,18,0,0.0,47,+6 Laps
2015,12,monza,grosjean,lotus_f1,8,19,0,0.0,1,Collision damage
2015,12,monza,maldonado,lotus_f1,10,20,0,0.0,1,Collision damage
2015,13,marina_bay,vettel,ferrari,1,1,1,25.0,61,Finished
2015,13,marina_bay,ricciardo,red_bull,2,2,0,18.0,61,Finished
2015,13,marina_bay,raikkonen,ferrari,3,3,0,15.0,61,Finished
2015,13,marina_bay,rosberg,mercedes,6,4,0,12.0,61,Finished
2015,13,marina_bay,bottas,williams,7,5,0,10.0,61,Finished
2015,13,marina_bay,kvyat,red_bull,4,6,0,8.0,61,Finished
2015,13,marina_bay,perez,force_india,13,7,0,6.0,61,Finished
2015,13,marina_bay,max_verstappen,toro_rosso,8,8,0,4.0,61,Finished
2015,13,marina_bay,sainz,toro_rosso,14,9,0,2.0,61,Finished
2015,13,marina_bay,nasr,sauber,16,10,0,1.0,61,Finished
2015,13,marina_bay,ericsson,sauber,17,11,0,0.0,61,Finished
2015,13,marina_bay,maldonado,lotus_f1,18,12,0,0.0,61,Finished
2015,13,marina_bay,grosjean,lotus_f1,10,13,0,0.0,59,Tyre
2015,13,marina_bay,rossi,manor,20,14,0,0.0,59,+2 Laps
2015,13,marina_bay,stevens,manor,19,15,0,0.0,59,+2 Laps
2015,13,marina_bay,button,mclaren,15,16,0,0.0,52,Gearbox
2015,13,marina_bay,alonso,mclaren,12,17,0,0.0,33,Gearbox
2015,13,marina_bay,hamilton,mercedes,5,18,0,0.0,32,Throttle
2015,13,marina_bay,massa,williams,9,19,0,0.0,30,Gearbox
2015,13,marina_bay,hulkenberg,force_india,11,20,0,0.0,12,Collision
2015,14,suzuka,hamilton,mercedes,2,1,1,25.0,53,Finished
2015,14,suzuka,rosberg,mercedes,1,2,0,18.0,53,Finished
2015,14,suzuka,vettel,ferrari,4,3,0,15.0,53,Finished
2015,14,suzuka,raikkonen,ferrari,6,4,0,12.0,53,Finished
2015,14,suzuka,bottas,williams,3,5,0,10.0,53,Finished
2015,14,suzuka,hulkenberg,force_india,13,6,0,8.0,53,Finished
2015,14,suzuka,grosjean,lotus_f1,8,7,0,6.0,53,Finished
2015,14,suzuka,maldonado,lotus_f1,11,8,0,4.0,53,Finished
2015,14,suzuka,max_verstappen,toro_rosso,17,9,0,2.0,53,Finished
2015,14,suzuka,sainz,toro_rosso,10,10,0,1.0,52,+1 Lap
2015,14,suzuka,alonso,mclaren,12,11,0,0.0,52,+1 Lap
2015,14,suzuka,perez,force_india,9,12,0,0.0,52,+1 Lap
2015,14,suzuka,kvyat,red_bull,20,13,0,0.0,52,+1 Lap
2015,14,suzuka,ericsson,sauber,15,14,0,0.0,52,+1 Lap
2015,14,suzuka,ricciardo,red_bull,7,15,0,0.0,52,+1 Lap
2015,14,suzuka,button,mclaren,14,16,0,0.0,52,+1 Lap
2015,14,suzuka,massa,williams,5,17,0,0.0,51,+2 Laps
2015,14,suzuka,rossi,manor,19,18,0,0.0,51,+2 Laps
2015,14,suzuka,stevens,manor,18,19,0,0.0,50,+3 Laps
2015,14,suzuka,nasr,sauber,16,20,0,0.0,49,Retired
2015,15,sochi,hamilton,mercedes,2,1,1,25.0,53,Finished
2015,15,sochi,vettel,ferrari,4,2,0,18.0,53,Finished
2015,15,sochi,perez,force_india,7,3,0,15.0,53,Finished
2015,15,sochi,massa,williams,15,4,0,12.0,53,Finished
2015,15,sochi,kvyat,red_bull,11,5,0,10.0,53,Finished
2015,15,sochi,nasr,sauber,12,6,0,8.0,53,Finished
2015,15,sochi,maldonado,lotus_f1,14,7,0,6.0,53,Finished
2015,15,sochi,raikkonen,ferrari,5,8,0,4.0,53,Finished
2015,15,sochi,button,mclaren,13,9,0,2.0,53,Finished
2015,15,sochi,max_verstappen,toro_rosso,9,10,0,1.0,53,Finished
2015,15,sochi,alonso,mclaren,19,11,0,0.0,53,Finished
2015,15,sochi,bottas,williams,3,12,0,0.0,52,Collision
2015,15,sochi,merhi,manor,18,13,0,0.0,52,+1 Lap
2015,15,sochi,stevens,manor,17,14,0,0.0,51,+2 Laps
2015,15,sochi,ricciardo,red_bull,10,15,0,0.0,47,Suspension
2015,15,sochi,sainz,toro_rosso,20,16,0,0.0,45,Brakes
2015,15,sochi,grosjean,lotus_f1,8,17,0,0.0,11,Accident
2015,15,sochi,rosberg,mercedes,1,18,0,0.0,7,Throttle
2015,15,sochi,hulkenberg,force_india,6,19,0,0.0,0,Collision
2015,15,sochi,ericsson,sauber,17,20,0,0.0,0,Collision
2015,16,americas,hamilton,mercedes,2,1,1,25.0,56,Finished
2015,16,americas,rosberg,mercedes,1,2,0,18.0,56,Finished
2015,16,americas,vettel,ferrari,13,3,0,15.0,56,Finished
2015,16,americas,max_verstappen,toro_rosso,8,4,0,12.0,56,Finished
2015,16,americas,perez,force_india,5,5,0,10.0,56,Finished
2015,16,americas,button,mclaren,11,6,0,8.0,56,Finished
2015,16,americas,sainz,toro_rosso,20,7,0,6.0,56,Finished
2015,16,americas,maldonado,lotus_f1,12,8,0,4.0,56,Finished
2015,16,americas,nasr,sauber,15,9,0,2.0,56,Finished
2015,16,americas,ricciardo,red_bull,3,10,0,1.0,56,Finished
2015,16,americas,alonso,mclaren,9,11,0,0.0,56,Finished
2015,16,americas,rossi,manor,17,12,0,0.0,56,Finished
2015,16,americas,kvyat,red_bull,4,13,0,0.0,41,Accident
2015,16,americas,hulkenberg,force_india,6,14,0,0.0,35,Accident
2015,16,americas,ericsson,sauber,14,15,0,0.0,25,Retired
2015,16,americas,raikkonen,ferrari,18,16,0,0.0,25,Brake duct
2015,16,americas,massa,williams,7,17,0,0.0,23,Retired
2015,16,americas,grosjean,lotus_f1,10,18,0,0.0,10,Retired
2015,16,americas,bottas,williams,16,19,0,0.0,5,Retired
2015,16,americas,stevens,manor,19,20,0,0.0,1,Retired
2015,17,rodriguez,rosberg,mercedes,1,1,1,25.0,71,Finished
2015,17,rodriguez,hamilton,mercedes,2,2,0,18.0,71,Finished
2015,17,rodriguez,bottas,williams,6,3,0,15.0,71,Finished
2015,17,rodriguez,kvyat,red_bull,4,4,0,12.0,71,Finished
2015,17,rodriguez,ricciardo,red_bull,5,5,0,10.0,71,Finished
2015,17,rodriguez,massa,williams,7,6,0,8.0,71,Finished
2015,17,rodriguez,hulkenberg,force_india,10,7,0,6.0,71,Finished
2015,17,rodriguez,perez,force_india,9,8,0,4.0,71,Finished
2015,17,rodriguez,max_verstappen,toro_rosso,8,9,0,2.0,71,Finished
2015,17,rodriguez,grosjean,lotus_f1,12,10,0,1.0,71,Finished
2015,17,rodriguez,maldonado,lotus_f1,13,11,0,0.0,71,Finished
2015,17,rodriguez,ericsson,sauber,14,12,0,0.0,71,Finished
2015,17,rodriguez,sainz,toro_rosso,11,13,0,0.0,71,Finished
2015,17,rodriguez,button,mclaren,20,14,0,0.0,71,Finished
2015,17,rodriguez,rossi,manor,16,15,0,0.0,69,+2 Laps
2015,17,rodriguez,stevens,manor,17,16,0,0.0,69,+2 Laps
2015,17,rodriguez,nasr,sauber,15,17,0,0.0,57,Brakes
2015,17,rodriguez,vettel,ferrari,3,18,0,0.0,50,Accident
2015,17,rodriguez,raikkonen,ferrari,19,19,0,0.0,21,Collision
2015,17,rodriguez,alonso,mclaren,18,20,0,0.0,1,Retired
2015,18,interlagos,rosberg,mercedes,1,1,1,25.0,71,Finished
2015,18,interlagos,hamilton,mercedes,2,2,0,18.0,71,Finished
2015,18,interlagos,vettel,ferrari,3,3,0,15.0,71,Finished
2015,18,interlagos,raikkonen,ferrari,4,4,0,12.0,71,Finished
2015,18,interlagos,bottas,williams,7,5,0,10.0,70,+1 Lap
2015,18,interlagos,hulkenberg,force_india,5,6,0,8.0,70,+1 Lap
2015,18,interlagos,kvyat,red_bull,6,7,0,6.0,70,+1 Lap
2015,18,interlagos,grosjean,lotus_f1,14,8,0,4.0,70,+1 Lap
2015,18,interlagos,max_verstappen,toro_rosso,9,9,0,2.0,70,+1 Lap
2015,18,interlagos,maldonado,lotus_f1,15,10,0,1.0,70,+1 Lap
2015,18,interlagos,ricciardo,red_bull,19,11,0,0.0,70,+1 Lap
2015,18,interlagos,perez,force_india,11,12,0,0.0,70,+1 Lap
2015,18,interlagos,nasr,sauber,13,13,0,0.0,70,+1 Lap
2015,18,interlagos,button,mclaren,16,14,0,0.0,70,+1 Lap
2015,18,interlagos,alonso,mclaren,20,15,0,0.0,70,+1 Lap
2015,18,interlagos,ericsson,sauber,12,16,0,0.0,69,+2 Laps
2015,18,interlagos,stevens,manor,18,17,0,0.0,67,+4 Laps
2015,18,interlagos,rossi,manor,17,18,0,0.0,67,+4 Laps
2015,18,interlagos,sainz,toro_rosso,10,19,0,0.0,0,Retired
2015,18,interlagos,massa,williams,8,20,0,0.0,70,Excluded
2015,19,yas_marina,rosberg,mercedes,1,1,1,25.0,55,Finished
2015,19,yas_marina,hamilton,mercedes,2,2,0,18.0,55,Finished
2015,19,yas_marina,raikkonen,ferrari,3,3,0,15.0,55,Finished
2015,19,yas_marina,vettel,ferrari,15,4,0,12.0,55,Finished
2015,19,yas_marina,perez,force_india,4,5,0,10.0,55,Finished
2015,19,yas_marina,ricciardo,red_bull,5,6,0,8.0,55,Finished
2015,19,yas_marina,hulkenberg,force_india,7,7,0,6.0,55,Finished
2015,19,yas_marina,massa,williams,8,8,0,4.0,55,Finished
2015,19,yas_marina,grosjean,lotus_f1,18,9,0,2.0,55,Finished
2015,19,yas_marina,kvyat,red_bull,9,10,0,1.0,55,Finished
2015,19,yas_marina,sainz,toro_rosso,10,11,0,0.0,55,Finished
2015,19,yas_marina,button,mclaren,12,12,0,0.0,54,+1 Lap
2015,19,yas_marina,bottas,williams,6,13,0,0.0,54,+1 Lap
2015,19,yas_marina,ericsson,sauber,17,14,0,0.0,54,+1 Lap
2015,19,yas_marina,nasr,sauber,14,15,0,0.0,54,+1 Lap
2015,19,yas_marina,max_verstappen,toro_rosso,11,16,0,0.0,54,+1 Lap
2015,19,yas_marina,alonso,mclaren,16,17,0,0.0,53,+2 Laps
2015,19,yas_marina,stevens,manor,19,18,0,0.0,53,+2 Laps
2015,19,yas_marina,merhi,manor,20,19,0,0.0,52,+3 Laps
2015,19,yas_marina,maldonado,lotus_f1,13,20,0,0.0,0,Collision
2016,1,albert_park,rosberg,mercedes,2,1,1,25.0,57,Finished
2016,1,albert_park,hamilton,mercedes,1,2,0,18.0,57,Finished
2016,1,albert_park,vettel,ferrari,3,3,0,15.0,57,Finished
2016,1,albert_park,ricciardo,red_bull,8,4,0,12.0,57,Finished
